[Sensor Definition]
Channel no.,Type,x,y,z,theta,phi,size,baseline
,,[mm],[mm],[mm],[deg],[deg],[mm],[mm]
106,AxialGradioMeter,28.37,98.29,59.11,65.05,79.67,15.50,50.00
107,AxialGradioMeter,52.72,89.43,58.24,64.63,67.18,15.50,50.00
108,AxialGradioMeter,72.73,76.62,58.29,63.87,55.35,15.50,50.00
109,AxialGradioMeter,-30.32,110.58,16.68,83.40,102.85,15.50,50.00
110,AxialGradioMeter,-45.80,91.62,62.62,63.93,110.93,15.50,50.00
111,AxialGradioMeter,49.59,4.04,115.91,23.19,8.87,15.50,50.00
112,AxialGradioMeter,-20.86,-108.22,56.29,65.70,261.11,15.50,50.00
113,AxialGradioMeter,3.96,-110.68,54.35,67.36,272.24,15.50,50.00
114,AxialGradioMeter,52.21,-97.49,53.07,66.88,291.28,15.50,50.00
115,AxialGradioMeter,29.36,-107.03,53.47,66.98,280.15,15.50,50.00
116,AxialGradioMeter,89.23,-73.39,52.36,67.86,309.46,15.50,50.00
117,AxialGradioMeter,104.82,-55.65,53.62,67.15,321.95,15.50,50.00
118,AxialGradioMeter,71.41,-86.18,52.79,67.04,299.96,15.50,50.00
119,AxialGradioMeter,129.52,-3.61,34.15,74.86,358.78,15.50,50.00
120,AxialGradioMeter,21.19,113.37,16.33,82.61,81.77,15.50,50.00
121,AxialGradioMeter,45.37,106.12,14.78,83.61,70.64,15.50,50.00
122,AxialGradioMeter,68.53,95.54,13.15,84.66,59.54,15.50,50.00
123,AxialGradioMeter,88.64,82.35,11.82,83.10,49.83,15.50,50.00
124,AxialGradioMeter,44.81,82.05,78.43,55.94,67.19,15.50,50.00
125,AxialGradioMeter,106.09,44.41,56.50,64.97,29.87,15.50,50.00
126,AxialGradioMeter,117.87,21.98,56.26,63.98,15.49,15.50,50.00
127,AxialGradioMeter,90.97,62.02,58.29,64.04,42.54,15.50,50.00
128,AxialGradioMeter,114.07,-56.63,32.16,77.38,324.07,15.50,50.00
129,AxialGradioMeter,27.17,-67.28,104.24,43.71,285.88,15.50,50.00
130,AxialGradioMeter,-0.58,-70.08,103.24,43.65,268.37,15.50,50.00
131,AxialGradioMeter,62.43,22.83,107.43,31.79,25.35,15.50,50.00
132,AxialGradioMeter,102.97,-31.66,75.04,55.65,335.96,15.50,50.00
133,AxialGradioMeter,76.61,-68.67,72.50,59.07,307.49,15.50,50.00
134,AxialGradioMeter,21.32,-27.24,124.18,18.34,300.34,15.50,50.00
135,AxialGradioMeter,61.06,-38.38,106.09,35.61,316.60,15.50,50.00
136,AxialGradioMeter,115.85,45.82,34.69,74.48,29.16,15.50,50.00
137,AxialGradioMeter,23.29,87.80,78.58,55.15,76.30,15.50,50.00
138,AxialGradioMeter,57.60,55.45,94.04,44.96,53.97,15.50,50.00
139,AxialGradioMeter,28.41,52.91,109.18,36.54,67.10,15.50,50.00
140,AxialGradioMeter,80.86,55.51,77.16,55.04,44.50,15.50,50.00
141,AxialGradioMeter,104.54,19.45,76.55,54.12,17.15,15.50,50.00
142,AxialGradioMeter,79.68,90.34,-72.51,94.92,54.01,15.50,50.00
